,0
경기도 인구,9.191790254730266
국내 총생산,9.130494239030732
수도권 인구,6.201633011871905
국내 총인구,4.549149601683725
인천시 인구,4.0156576564358835
소비자 물가 지수,2.570610896469844
금리,2.0979619508635405
집세,1.4718883287443811
서울시 인구,1.2408515343913102
원 달러 환율,1.1332388553160977
소비자 물가,1.010745940665169
개인 서비스,0.9300360879658562
국제 유가,0.8815253674335949
공업 제품,0.7025317902800184
합계 출산율,0.6203759783451269
이혼 건수,0.495532204197713
공공 서비스,0.46699531203405636
신생아 출산 인구,0.3805412471790204
농축 수산물,0.30219500265585975
사망 인구,0.2746409601978941
혼인 건수,0.24544531953305115
